,State,Electricity Prices
0,Alabama,9.84
1,Alaska,19.82
2,Arizona,10.44
3,Arkansas,8.32
4,California,18.0
5,Colorado,10.27
6,Connecticut,19.13
7,Delaware,10.24
8,District of Columbia,11.9
9,Florida,10.06
10,Georgia,9.93
11,Hawaii,27.55
12,Idaho,7.99
13,Illinois,9.75
14,Indiana,9.92
15,Iowa,8.97
16,Kansas,10.38
17,Kentucky,8.58
18,Louisiana,7.51
19,Maine,13.54
20,Maryland,11.15
21,Massachusetts,18.19
22,Michigan,12.21
23,Minnesota,10.57
24,Mississippi,9.13
25,Missouri,9.64
26,Montana,9.13
27,Nebraska,8.97
28,Nevada,8.33
29,New Hampshire,16.63
30,New Jersey,13.63
31,New Mexico,9.33
32,New York,14.87
33,North Carolina,9.43
34,North Dakota,8.53
35,Ohio,9.44
36,Oklahoma,7.63
37,Oregon,8.82
38,Pennsylvania,9.7
39,Rhode Island,18.54
40,South Carolina,9.9
41,South Dakota,10.06
42,Tennessee,9.52
43,Texas,8.36
44,Utah,8.27
45,Vermont,16.33
46,Virginia,9.16
47,Washington,8.33
48,West Virginia,8.75
49,Wisconsin,10.82
50,Wyoming,8.27
